entries: 5163, max_length: 11



00000,        AARON,   49,   604879829346549760
00001,        ABBEY,   35,   613717154054799360
00002,        ABBIE,   19,   613776527682699264
00003,         ABBY,   30,   614055253880340480
00004,        ABDUL,   40,   615117382112772096
00005,          ABE,    8,   615304299089494016
00006,         ABEL,   20,   615515405322027008
00007,      ABIGAIL,   41,   617679955022577664
00008,      ABRAHAM,   44,   622644662875717632
00009,        ABRAM,   35,   622647387495596032
00010,          ADA,    6,   649081296294772736
00011,         ADAH,   14,   649222033783128064
00012,    ADALBERTO,   78,   649293597945364480
00013,      ADALINE,   46,   649297593532153856
00014,         ADAM,   19,   649309994713350144
00015,         ADAN,   20,   649327586899394560
00016,        ADDIE,   23,   650931224608505856
00017,        ADELA,   23,   651544752096804864
00018,     ADELAIDA,   37,   651544908879888384
00019,     ADELAIDE,   41,   651544908946997248
00020,        ADELE,   27,   651546951120060416
00021,       ADELIA,   32,   651549167323185152
00022,      ADELINA,   46,   651549391198355456
00023,      ADELINE,   50,   651549393345839104
00024,        ADELL,   34,   651550799410757632
00025,       ADELLA,   35,   651550816590626816
00026,       ADELLE,   39,   651550885310103552
00027,        ADENA,   25,   651579936468893696
00028,        ADINA,   29,   653831736282578944
00029,       ADOLFO,   53,   657177258108125184
00030,       ADOLPH,   56,   657182635407179776
00031,        ADRIA,   33,   658810324933148672
00032,       ADRIAN,   47,   658810565451317248
00033,      ADRIANA,   48,   658810565988188160
00034,      ADRIANE,   52,   658810568135671808
00035,     ADRIANNA,   62,   658810572984287232
00036,     ADRIANNE,   66,   658810573051396096
00037,       ADRIEN,   51,   658812764474572800
00038,      ADRIENE,   56,   658812767158927360
00039,     ADRIENNE,   70,   658812772074651648
00040,        AFTON,   56,   696077721800802304
00041,       AGATHA,   38,   703480750770487296
00042,        AGNES,   46,   710541247508381696
00043,        AGNUS,   62,   710822722485092352
00044,     AGRIPINA,   75,   712861928950595584
00045,       AGUEDA,   39,   714473668024991744
00046,      AGUSTIN,   91,   714728899677782016
00047,     AGUSTINA,   92,   714728899694559232
00048,        AHMAD,   27,   727914080983056384
00049,        AHMED,   31,   727984449727234048
00050,           AI,   10,   738590338888761344
00051,         AIDA,   15,   740859730888491008
00052,         AIDE,   19,   740930099632668672
00053,         AIKO,   36,   745046671167062016
00054,       AILEEN,   46,   745436688557277184
00055,       AILENE,   46,   745441481740779520
00056,        AIMEE,   33,   745999397992529920
00057,        AISHA,   38,   749427675247935488
00058,          AJA,   12,   757167687351664640
00059,        AKIKO,   47,   779887445872214016
00060,       AKILAH,   42,   779897478915817472
00061,           AL,   13,   792633534417207296
00062,       ALAINA,   38,   793362527806291968
00063,       ALAINE,   42,   793362596525768704
00064,         ALAN,   28,   793442774975250432
00065,        ALANA,   29,   793443324731064320
00066,        ALANE,   33,   793445523754319872
00067,       ALANNA,   43,   793450488736514048
00068,       ALAYNA,   54,   793644002783002624
00069,         ALBA,   16,   793777026510094336
00070,       ALBERT,   58,   793857634456305664
00071,      ALBERTA,   59,   793857634993176576
00072,     ALBERTHA,   67,   793857638768050176
00073,    ALBERTINA,   82,   793857639523549184
00074,    ALBERTINE,   86,   793857639525646336
00075,      ALBERTO,   73,   793857642509369344
00076,       ALBINA,   39,   793925477759713280
00077,         ALDA,   18,   794902926416936960
00078,        ALDEN,   36,   794980991742509056
00079,         ALDO,   32,   795149217021558784
00080,       ALEASE,   43,   795476407630168064
00081,         ALEC,   21,   795501060742447104
00082,       ALECIA,   31,   795506025724641280
00083,        ALEEN,   37,   795543941695930368
00084,       ALEIDA,   32,   795608830061838336
00085,      ALEISHA,   55,   795617197195001856
00086,    ALEJANDRA,   66,   795624998768738304
00087,  ALEJANDRINA,   89,   795624998773162496
00088,    ALEJANDRO,   80,   795624998776078336
00089,        ALENA,   33,   795695124544749568
00090,        ALENE,   37,   795697323568005120
00091,       ALESHA,   46,   795786950945538048
00092,      ALESHIA,   55,   795787088921362432
00093,       ALESIA,   47,   795787500701351936
00094,   ALESSANDRA,   94,   795793005852246016
00095,        ALETA,   39,   795800677661016064
00096,       ALETHA,   47,   795804543131582464
00097,      ALETHEA,   52,   795804612387930112
00098,      ALETHIA,   56,   795804681107406848
00099,         ALEX,   42,   795870496649379840
00100,        ALEXA,   43,   795871046405193728
00101,    ALEXANDER,   84,   795871289164169216
00102,    ALEXANDRA,   80,   795871289373360128
00103,   ALEXANDRIA,   89,   795871289377570816
00104,       ALEXIA,   52,   795875461631574016
00105,       ALEXIS,   70,   795875770869219328
00106,      ALFONSO,   82,   796283147980374016
00107,      ALFONZO,   89,   796283268239458304
00108,       ALFRED,   46,   796330710985080832
00109,      ALFREDA,   47,   796330711521951744
00110,     ALFREDIA,   56,   796330715833696256
00111,      ALFREDO,   61,   796330719038144512
00112,          ALI,   22,   797700083997999104
00113,         ALIA,   23,   797717676184043520
00114,        ALICA,   26,   797753410311946240
00115,        ALICE,   30,   797755609335201792
00116,       ALICIA,   35,   797757825538326528
00117,        ALIDA,   27,   797771002497990656
00118,        ALINA,   37,   797946924358434816
00119,        ALINE,   41,   797949123381690368
00120,        ALISA,   42,   798034885288656896
00121,        ALISE,   46,   798037084311912448
00122,       ALISHA,   50,   798038750759223296
00123,      ALISHIA,   59,   798038888735047680
00124,       ALISIA,   51,   798039300515037184
00125,       ALISON,   70,   798042822388219904
00126,       ALISSA,   61,   798044798073176064
00127,        ALITA,   43,   798052477474701312
00128,         ALIX,   46,   798122296463065088
00129,        ALIZA,   49,   798158030590967808
00130,         ALLA,   26,   799406526044307456
00131,        ALLAN,   40,   799414222625701888
00132,       ALLEEN,   49,   799479884085723136
00133,      ALLEGRA,   56,   799481052853698560
00134,        ALLEN,   44,   799484591369879552
00135,       ALLENA,   45,   799484608549748736
00136,       ALLENE,   49,   799484677269225472
00137,        ALLIE,   39,   799550012311732224
00138,       ALLINE,   53,   799555046013403136
00139,      ALLISON,   82,   799557974107357184
00140,        ALLYN,   64,   799836435090767872
00141,      ALLYSON,   98,   799839449084067840
00142,         ALMA,   27,   799969475997728768
00143,       ALMEDA,   36,   800042060945031168
00144,       ALMETA,   52,   800050857038053376
00145,        ALONA,   43,   801324624078962688
00146,       ALONSO,   76,   801334777381650432
00147,       ALONZO,   83,   801338625672347648
00148,        ALPHA,   38,   801782020916117504
00149,     ALPHONSE,   90,   801789968300113920
00150,     ALPHONSO,  100,   801789968467886080
00151,         ALTA,   34,   803910125671677952
00152,   ALTAGRACIA,   73,   803914283791958016
00153,        ALTHA,   42,   804033820729802752
00154,       ALTHEA,   47,   804036036932927488
00155,        ALTON,   62,   804164112857694208
00156,         ALVA,   36,   805036025578520576
00157,       ALVARO,   69,   805046178881208320
00158,       ALVERA,   59,   805116307107217408
00159,      ALVERTA,   79,   805116634061602816
00160,        ALVIN,   58,   805184459648270336
00161,       ALVINA,   59,   805184476828139520
00162,        ALYCE,   46,   806762808589942784
00163,       ALYCIA,   51,   806765024793067520
00164,        ALYSA,   58,   807042084543397888
00165,        ALYSE,   62,   807044283566653440
00166,       ALYSHA,   66,   807045950013964288
00167,       ALYSIA,   67,   807046499769778176
00168,       ALYSON,   86,   807050021642960896
00169,       ALYSSA,   77,   807051997327917056
00170,        AMADA,   20,   811281801380102144
00171,        AMADO,   34,   811289497961496576
00172,         AMAL,   27,   811421989112643584
